               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.052028,             0.02705,           0.0090741,             0.52637,             0.32062,             0.33403,             0.15833,            0.050792,            0.028361,            0.011251,              0.0037,              0.0037,              0.0037
                 142,            0.052073,            0.027348,           0.0090354,             0.52384,             0.32217,             0.33442,              0.1586,            0.050791,            0.028365,            0.011253,            0.003655,            0.003655,            0.003655
                 143,            0.052064,            0.027268,           0.0089304,             0.52827,             0.32109,             0.33409,             0.15839,            0.050787,            0.028368,            0.011255,             0.00361,             0.00361,             0.00361
                 144,            0.052036,             0.02707,           0.0090666,             0.52892,             0.32242,             0.33448,             0.15855,             0.05078,            0.028371,            0.011253,            0.003565,            0.003565,            0.003565
                 145,            0.051885,            0.027133,           0.0089798,              0.5319,             0.32159,             0.33459,             0.15867,            0.050772,            0.028372,            0.011252,             0.00352,             0.00352,             0.00352
                 146,            0.051899,            0.026975,           0.0089861,             0.52991,             0.32163,             0.33463,             0.15883,            0.050762,            0.028374,            0.011253,            0.003475,            0.003475,            0.003475
                 147,            0.052055,            0.027017,           0.0090184,             0.52863,             0.32092,             0.33411,              0.1586,            0.050763,            0.028379,            0.011246,             0.00343,             0.00343,             0.00343
                 148,            0.052033,             0.02712,           0.0088833,             0.53063,             0.32117,              0.3342,             0.15865,            0.050758,            0.028379,            0.011246,            0.003385,            0.003385,            0.003385
                 149,            0.052022,            0.027285,           0.0089301,             0.52954,             0.32113,             0.33424,             0.15882,             0.05075,             0.02838,            0.011248,             0.00334,             0.00334,             0.00334
                 150,              0.0517,            0.027006,           0.0088567,             0.53384,             0.32165,             0.33459,             0.15904,            0.050731,            0.028381,            0.011241,            0.003295,            0.003295,            0.003295
                 151,            0.051764,            0.027146,           0.0088249,             0.53175,             0.32199,             0.33492,             0.15908,            0.050728,            0.028383,            0.011247,             0.00325,             0.00325,             0.00325
                 152,            0.051735,            0.027104,           0.0088221,             0.53249,             0.32101,             0.33498,             0.15913,            0.050721,            0.028381,            0.011254,            0.003205,            0.003205,            0.003205
                 153,            0.051786,            0.027074,           0.0088799,             0.53457,              0.3206,             0.33478,             0.15912,            0.050712,            0.028381,            0.011261,             0.00316,             0.00316,             0.00316
                 154,             0.05177,            0.026907,           0.0089119,             0.53513,             0.32048,             0.33527,             0.15923,            0.050713,            0.028382,            0.011269,            0.003115,            0.003115,            0.003115
                 155,            0.051628,            0.026993,           0.0087955,             0.52884,             0.32298,             0.33509,             0.15928,            0.050708,            0.028382,            0.011272,             0.00307,             0.00307,             0.00307
                 156,            0.051591,            0.026873,           0.0088273,             0.53404,             0.32161,             0.33514,             0.15928,            0.050706,            0.028381,             0.01127,            0.003025,            0.003025,            0.003025
                 157,            0.051503,            0.027037,           0.0087346,              0.5317,             0.32221,             0.33518,             0.15927,            0.050704,            0.028383,             0.01128,             0.00298,             0.00298,             0.00298
                 158,            0.051399,            0.026867,           0.0087072,             0.52949,             0.32254,             0.33516,             0.15928,            0.050699,            0.028388,            0.011286,            0.002935,            0.002935,            0.002935
                 159,            0.051521,            0.027039,           0.0088433,             0.52881,             0.32342,             0.33512,             0.15918,            0.050694,            0.028389,            0.011289,             0.00289,             0.00289,             0.00289
                 160,            0.051514,            0.026914,            0.008763,             0.52771,              0.3232,             0.33509,             0.15927,            0.050693,            0.028392,            0.011291,            0.002845,            0.002845,            0.002845
                 161,            0.051335,            0.026817,           0.0087233,             0.52869,             0.32343,             0.33487,             0.15921,             0.05069,            0.028394,            0.011299,              0.0028,              0.0028,              0.0028
