               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.059456,            0.030488,            0.010338,             0.52665,             0.32077,             0.33019,             0.15849,            0.055632,            0.030257,            0.011895,             0.00595,             0.00595,             0.00595
                  92,            0.059419,            0.030537,            0.010369,             0.51979,             0.32074,             0.32945,             0.15842,            0.055629,            0.030255,            0.011903,            0.005905,            0.005905,            0.005905
                  93,             0.05952,            0.030539,            0.010345,              0.5195,             0.32171,             0.32926,              0.1584,            0.055631,            0.030253,            0.011921,             0.00586,             0.00586,             0.00586
                  94,            0.059355,            0.030448,            0.010312,             0.51951,             0.32113,             0.32905,             0.15817,            0.055633,            0.030254,            0.011942,            0.005815,            0.005815,            0.005815
                  95,            0.059459,            0.030515,            0.010395,             0.51724,             0.32212,             0.32912,             0.15812,             0.05564,            0.030256,            0.011956,             0.00577,             0.00577,             0.00577
                  96,            0.059349,            0.030482,            0.010308,             0.51813,             0.32167,             0.32896,               0.158,            0.055641,            0.030254,            0.011956,            0.005725,            0.005725,            0.005725
                  97,             0.05929,            0.030512,             0.01025,             0.51502,             0.32275,             0.32881,             0.15785,            0.055645,            0.030252,            0.011964,             0.00568,             0.00568,             0.00568
                  98,            0.059304,            0.030445,            0.010239,             0.51553,             0.32224,             0.32836,             0.15772,            0.055649,            0.030249,            0.011973,            0.005635,            0.005635,            0.005635
                  99,            0.059163,            0.030479,            0.010167,              0.5193,             0.32016,             0.32852,              0.1579,            0.055647,            0.030248,            0.011972,             0.00559,             0.00559,             0.00559
                 100,            0.059087,            0.030203,            0.010239,             0.51994,             0.32052,             0.32862,              0.1582,            0.055649,            0.030246,            0.011977,            0.005545,            0.005545,            0.005545
                 101,            0.059095,            0.030409,            0.010204,             0.51675,             0.32144,             0.32911,             0.15835,            0.055648,            0.030247,             0.01199,              0.0055,              0.0055,              0.0055
                 102,             0.05926,            0.030437,            0.010217,             0.52216,             0.32016,             0.32982,             0.15862,            0.055641,            0.030246,            0.011997,            0.005455,            0.005455,            0.005455
                 103,             0.05921,            0.030461,            0.010226,             0.52108,             0.31947,             0.32904,             0.15837,            0.055639,            0.030246,            0.012004,             0.00541,             0.00541,             0.00541
                 104,            0.059113,            0.030456,            0.010164,             0.52004,             0.32005,              0.3292,             0.15812,             0.05564,            0.030245,            0.012017,            0.005365,            0.005365,            0.005365
                 105,            0.059091,            0.030509,             0.01014,             0.52173,              0.3192,             0.32889,             0.15778,            0.055638,            0.030244,            0.012034,             0.00532,             0.00532,             0.00532
                 106,            0.059097,            0.030467,            0.010173,              0.5199,             0.32032,             0.32868,             0.15774,            0.055645,            0.030246,            0.012054,            0.005275,            0.005275,            0.005275
                 107,            0.059056,            0.030371,            0.010117,             0.51916,             0.32019,             0.32833,             0.15753,            0.055648,            0.030245,            0.012058,             0.00523,             0.00523,             0.00523
                 108,               0.059,            0.030173,            0.010076,             0.52144,             0.31941,             0.32822,             0.15737,            0.055653,            0.030242,            0.012068,            0.005185,            0.005185,            0.005185
                 109,            0.058868,            0.030515,            0.010044,             0.51965,              0.3207,             0.32818,             0.15731,            0.055655,            0.030244,             0.01208,             0.00514,             0.00514,             0.00514
                 110,            0.058829,            0.030399,            0.010042,             0.52432,             0.31969,             0.32835,              0.1573,            0.055646,            0.030247,            0.012089,            0.005095,            0.005095,            0.005095
                 111,            0.058834,            0.030233,            0.010094,             0.52652,             0.31951,             0.32868,             0.15741,            0.055637,            0.030247,            0.012086,             0.00505,             0.00505,             0.00505
                 112,            0.058883,            0.030409,            0.010094,              0.5314,             0.31962,             0.32902,             0.15759,             0.05563,            0.030244,            0.012085,            0.005005,            0.005005,            0.005005
                 113,            0.058749,            0.030249,           0.0099769,             0.53057,             0.31948,             0.32899,             0.15772,            0.055626,            0.030243,            0.012087,             0.00496,             0.00496,             0.00496
                 114,             0.05881,            0.030245,           0.0099946,             0.53142,             0.32098,             0.32927,             0.15765,            0.055624,            0.030243,            0.012091,            0.004915,            0.004915,            0.004915
                 115,            0.058738,            0.030283,            0.010044,             0.52763,             0.32176,             0.32938,             0.15767,            0.055623,            0.030246,            0.012088,             0.00487,             0.00487,             0.00487
                 116,            0.058688,            0.030251,           0.0099405,             0.52184,             0.32184,             0.32905,             0.15746,            0.055623,            0.030252,            0.012096,            0.004825,            0.004825,            0.004825
                 117,            0.058772,            0.030486,            0.010015,             0.52521,             0.31923,             0.32922,             0.15731,            0.055623,            0.030254,             0.01211,             0.00478,             0.00478,             0.00478
                 118,            0.058589,            0.030265,           0.0099297,             0.52325,             0.31882,             0.32914,             0.15721,            0.055618,            0.030257,            0.012125,            0.004735,            0.004735,            0.004735
                 119,            0.058659,            0.030334,           0.0099613,             0.52433,             0.31682,             0.32879,             0.15725,            0.055613,            0.030259,            0.012147,             0.00469,             0.00469,             0.00469
                 120,            0.058568,            0.030125,           0.0099505,             0.52349,             0.31694,             0.32875,             0.15727,            0.055606,            0.030259,            0.012156,            0.004645,            0.004645,            0.004645
                 121,            0.058464,             0.03026,           0.0099335,             0.52316,             0.31723,             0.32898,             0.15722,              0.0556,            0.030261,            0.012168,              0.0046,              0.0046,              0.0046
                 122,            0.058618,             0.03014,           0.0099491,             0.52086,             0.31699,             0.32849,             0.15721,            0.055603,            0.030265,            0.012184,            0.004555,            0.004555,            0.004555
                 123,            0.058461,            0.030244,           0.0098519,             0.52328,             0.31606,             0.32862,             0.15729,            0.055599,            0.030269,            0.012189,             0.00451,             0.00451,             0.00451
                 124,            0.058426,            0.030408,           0.0098936,             0.52493,             0.31485,             0.32885,             0.15728,            0.055597,            0.030274,            0.012189,            0.004465,            0.004465,            0.004465
                 125,            0.058499,            0.029933,            0.009826,             0.52489,             0.31372,             0.32782,              0.1571,            0.055591,            0.030276,            0.012202,             0.00442,             0.00442,             0.00442
                 126,            0.058428,            0.030294,           0.0098908,             0.52506,             0.31293,             0.32778,             0.15715,            0.055588,            0.030283,            0.012213,            0.004375,            0.004375,            0.004375
                 127,            0.058336,            0.030038,           0.0097638,             0.52301,             0.31309,             0.32756,             0.15719,            0.055581,            0.030287,             0.01222,             0.00433,             0.00433,             0.00433
                 128,            0.058449,            0.030008,           0.0098701,             0.51843,             0.31371,             0.32728,              0.1572,            0.055574,            0.030293,            0.012227,            0.004285,            0.004285,            0.004285
                 129,            0.058375,            0.030087,           0.0097489,             0.51584,              0.3151,             0.32745,             0.15712,            0.055571,            0.030297,            0.012237,             0.00424,             0.00424,             0.00424
